"State","District","Crop","Year","Season","Area","Area Units","Production","Production Units","Yield"
"Andaman and Nicobar Islands","NICOBARS","Arecanut","2001-02","Kharif","1254.0","Hectare","2061.0","Tonnes","1.6435406698564594"
"Andaman and Nicobar Islands","NICOBARS","Arecanut","2002-03","Whole Year","1258.0","Hectare","2083.0","Tonnes","1.6558028616852147"
"Andaman and Nicobar Islands","NICOBARS","Arecanut","2003-04","Whole Year","1261.0","Hectare","1525.0","Tonnes","1.2093576526566217"
"Andaman and Nicobar Islands","NORTH AND MIDDLE ANDAMAN","Arecanut","2001-02","Kharif","3100.0","Hectare","5239.0","Tonnes","1.69"
"Andaman and Nicobar Islands","SOUTH ANDAMANS","Arecanut","2002-03","Whole Year","3105.0","Hectare","5267.0","Tonnes","1.6962962962962962"
"Andaman and Nicobar Islands","SOUTH ANDAMANS","Arecanut","2003-04","Whole Year","3118.0","Hectare","5182.0","Tonnes","1.6619627966645285"
"Andaman and Nicobar Islands","NICOBARS","Banana","2002-03","Whole Year","213.0","Hectare","1278.0","Tonnes","6.0"
"Andaman and Nicobar Islands","NICOBARS","Banana","2003-04","Whole Year","266.0","Hectare","1763.0","Tonnes","6.62781954887218"
"Andaman and Nicobar Islands","SOUTH ANDAMANS","Banana","2002-03","Whole Year","1524.0","Hectare","10882.0","Tonnes","7.140419947506562"
"Andaman and Nicobar Islands","SOUTH ANDAMANS","Banana","2003-04","Whole Year","1530.0","Hectare","11558.0","Tonnes","7.554248366013072"
"Andaman and Nicobar Islands","NICOBARS","Black pepper","2002-03","Whole Year","63.0","Hectare","13.5","Tonnes","0.21428571428571427"
"Andaman and Nicobar Islands","NICOBARS","Black pepper","2003-04","Whole Year","75.5","Hectare","15.86","Tonnes","0.21006622516556292"
"Andaman and Nicobar Islands","SOUTH ANDAMANS","Black pepper","2002-03","Whole Year","487.0","Hectare","102.5","Tonnes","0.2104722792607803"
"Andaman and Nicobar Islands","SOUTH ANDAMANS","Black pepper","2003-04","Whole Year","497.0","Hectare","104.37","Tonnes","0.21000000000000002"
"Andaman and Nicobar Islands","NICOBARS","Cashewnut","2001-02","Whole Year","719.0","Hectare","192.0","Tonnes","0.2670375521557719"
"Andaman and Nicobar Islands","NICOBARS","Cashewnut","2002-03","Whole Year","719.0","Hectare","208.0","Tonnes","0.28929068150208626"
"Andaman and Nicobar Islands","NICOBARS","Cashewnut","2003-04","Whole Year","717.0","Hectare","208.5","Tonnes","0.2907949790794979"
"Andaman and Nicobar Islands","NORTH AND MIDDLE ANDAMAN","Cashewnut","2001-02","Whole Year","81.0","Hectare","33.0","Tonnes","0.4074074074074074"
"Andaman and Nicobar Islands","SOUTH ANDAMANS","Cashewnut","2002-03","Whole Year","81.0","Hectare","24.0","Tonnes","0.2962962962962963"
"Andaman and Nicobar Islands","SOUTH ANDAMANS","Cashewnut","2003-04","Whole Year","116.5","Hectare","26.14","Tonnes","0.22437768240343348"
"Andaman and Nicobar Islands","NICOBARS","Coconut","2001-02","Whole Year","18190.0","Hectare","64430000.0","Nuts","3542.0560747663553"
"Andaman and Nicobar Islands","NICOBARS","Coconut","2002-03","Whole Year","18240.0","Hectare","67490000.0","Nuts","3700.1096491228072"
"Andaman and Nicobar Islands","NICOBARS","Coconut","2003-04","Whole Year","18284.74","Hectare","68580000.0","Nuts","3750.6685903108273"
"Andaman and Nicobar Islands","NORTH AND MIDDLE ANDAMAN","Coconut","2001-02","Whole Year","7015.0","Hectare","25250000.0","Nuts","3599.429793300071"
"Andaman and Nicobar Islands","SOUTH ANDAMANS","Coconut","2002-03","Whole Year","7060.0","Hectare","26830000.0","Nuts","3800.28328611898"
"Andaman and Nicobar Islands","SOUTH ANDAMANS","Coconut","2003-04","Whole Year","7110.0","Hectare","26660000.0","Nuts","3749.6483825597747"
"Andaman and Nicobar Islands","NICOBARS","Dry chillies","2002-03","Whole Year","413.0","Hectare","28.8","Tonnes","0.06973365617433414"
"Andaman and Nicobar Islands","NICOBARS","Dry chillies","2003-04","Whole Year","60.0","Hectare","102.0","Tonnes","1.7"
"Andaman and Nicobar Islands","SOUTH ANDAMANS","Dry chillies","2002-03","Whole Year","239.0","Hectare","20.9","Tonnes","0.08744769874476988"
"Andaman and Nicobar Islands","SOUTH ANDAMANS","Dry chillies","2003-04","Whole Year","340.0","Hectare","578.0","Tonnes","1.7"
"Andaman and Nicobar Islands","NICOBARS","Ginger","2001-02","Whole Year","46.0","Hectare","100.0","Tonnes","2.1739130434782608"
"Andaman and Nicobar Islands","NICOBARS","Ginger","2002-03","Whole Year","47.3","Hectare","133.0","Tonnes","2.8118393234672308"
"Andaman and Nicobar Islands","NICOBARS","Ginger","2003-04","Whole Year","102.0","Hectare","326.4","Tonnes","3.2"
"Andaman and Nicobar Islands","NORTH AND MIDDLE ANDAMAN","Ginger","2001-02","Whole Year","344.0","Hectare","1124.0","Tonnes","3.2674418604651163"
"Andaman and Nicobar Islands","SOUTH ANDAMANS","Ginger","2002-03","Whole Year","352.0","Hectare","1145.0","Tonnes","3.252840909090909"
"Andaman and Nicobar Islands","SOUTH ANDAMANS","Ginger","2003-04","Whole Year","406.0","Hectare","1299.2","Tonnes","3.2"
"Andaman and Nicobar Islands","NICOBARS","Other Kharif pulses","2001-02","Kharif","2.0","Hectare","1.0","Tonnes","0.5"
"Andaman and Nicobar Islands","NORTH AND MIDDLE ANDAMAN","Other Kharif pulses","2001-02","Kharif","418.0","Hectare","199.0","Tonnes","0.47607655502392343"
"Andaman and Nicobar Islands","NICOBARS","other oilseeds","2003-04","Whole Year","4.2","Hectare","0.3","Tonnes","0.07142857142857142"
"Andaman and Nicobar Islands","SOUTH ANDAMANS","other oilseeds","2002-03","Whole Year","85.1","Hectare","40.31","Tonnes","0.47367802585193897"
"Andaman and Nicobar Islands","SOUTH ANDAMANS","other oilseeds","2003-04","Whole Year","82.09","Hectare","35.51","Tonnes","0.43257400414179553"
"Andaman and Nicobar Islands","NICOBARS","Rice","2001-02","Kharif","83.0","Hectare","300.0","Tonnes","3.6144578313253013"
"Andaman and Nicobar Islands","NICOBARS","Rice","2002-03","Kharif","189.2","Hectare","510.84","Tonnes","2.7"
"Andaman and Nicobar Islands","NICOBARS","Rice","2003-04","Kharif","52.0","Hectare","90.17","Tonnes","1.7340384615384616"
"Andaman and Nicobar Islands","NORTH AND MIDDLE ANDAMAN","Rice","2001-02","Kharif","9718.0","Hectare","27033.0","Tonnes","2.781745215064828"
"Andaman and Nicobar Islands","SOUTH ANDAMANS","Rice","2002-03","Kharif","10695.8","Hectare","31600.82","Tonnes","2.954507376727314"
"Andaman and Nicobar Islands","SOUTH ANDAMANS","Rice","2003-04","Kharif","10509.37","Hectare","30760.698","Tonnes","2.9269783060259558"
"Andaman and Nicobar Islands","NICOBARS","Sugarcane","2001-02","Whole Year","1.0","Hectare","1.0","Tonnes","1.0"
"Andaman and Nicobar Islands","NICOBARS","Sugarcane","2002-03","Whole Year","5.0","Hectare","40.0","Tonnes","8.0"
"Andaman and Nicobar Islands","NORTH AND MIDDLE ANDAMAN","Sugarcane","2001-02","Whole Year","81.0","Hectare","2379.0","Tonnes","29.37037037037037"
"Andaman and Nicobar Islands","SOUTH ANDAMANS","Sugarcane","2002-03","Whole Year","455.0","Hectare","13760.0","Tonnes","30.24175824175824"
"Andaman and Nicobar Islands","SOUTH ANDAMANS","Sugarcane","2003-04","Whole Year","268.0","Hectare","2879.52","Tonnes","10.7444776119403"
"Andaman and Nicobar Islands","NICOBARS","Sweet potato","2001-02","Whole Year","11.0","Hectare","33.0","Tonnes","3.0"
"Andaman and Nicobar Islands","NORTH AND MIDDLE ANDAMAN","Sweet potato","2001-02","Whole Year","100.0","Hectare","5.0","Tonnes","0.05"
"Andhra Pradesh","ANANTAPUR","Arecanut","2001-02","Whole Year","257.0","Hectare","430.0","Tonnes","1.6731517509727627"
"Andhra Pradesh","ANANTAPUR","Arecanut","2002-03","Whole Year","263.0","Hectare","379.0","Tonnes","1.44106463878327"
"Andhra Pradesh","ANANTAPUR","Arecanut","2003-04","Whole Year","266.0","Hectare","189.0","Tonnes","0.7105263157894737"
"Andhra Pradesh","EAST GODAVARI","Arecanut","2001-02","Whole Year","7.0","Hectare","12.0","Tonnes","1.7142857142857142"
"Andhra Pradesh","EAST GODAVARI","Arecanut","2002-03","Whole Year","7.0","Hectare","10.0","Tonnes","1.4285714285714286"
"Andhra Pradesh","EAST GODAVARI","Arecanut","2003-04","Whole Year","6.0","Hectare","4.0","Tonnes","0.6666666666666666"
"Andhra Pradesh","KRISHNA","Arecanut","2001-02","Whole Year","4.0","Hectare","7.0","Tonnes","1.75"
"Andhra Pradesh","KRISHNA","Arecanut","2002-03","Whole Year","18.0","Hectare","26.0","Tonnes","1.4444444444444444"
"Andhra Pradesh","KRISHNA","Arecanut","2003-04","Whole Year","18.0","Hectare","13.0","Tonnes","0.7222222222222222"
"Andhra Pradesh","VIZIANAGARAM","Arecanut","2002-03","Whole Year","8.0","Hectare","12.0","Tonnes","1.5"
"Andhra Pradesh","VIZIANAGARAM","Arecanut","2003-04","Whole Year","12.0","Hectare","9.0","Tonnes","0.75"
"Andhra Pradesh","WEST GODAVARI","Arecanut","2003-04","Whole Year","9.0","Hectare","6.0","Tonnes","0.6666666666666666"
"Andhra Pradesh","ADILABAD","Arhar/Tur","2001-02","Kharif","38438.0","Hectare","18027.0","Tonnes","0.468989021281024"
"Andhra Pradesh","ADILABAD","Arhar/Tur","2001-02","Rabi","652.0","Hectare","306.0","Tonnes","0.46932515337423314"
"Andhra Pradesh","ADILABAD","Arhar/Tur","2002-03","Kharif","40771.0","Hectare","9989.0","Tonnes","0.24500257535993722"
"Andhra Pradesh","ADILABAD","Arhar/Tur","2002-03","Rabi","945.0","Hectare","232.0","Tonnes","0.2455026455026455"
"Andhra Pradesh","ADILABAD","Arhar/Tur","2003-04","Kharif","38393.0","Hectare","13284.0","Tonnes","0.34600057302112364"
"Andhra Pradesh","ADILABAD","Arhar/Tur","2003-04","Rabi","1351.0","Hectare","467.0","Tonnes","0.3456698741672835"
"Andhra Pradesh","ANANTAPUR","Arhar/Tur","2001-02","Kharif","27942.0","Hectare","7628.0","Tonnes","0.272994059122468"
"Andhra Pradesh","ANANTAPUR","Arhar/Tur","2001-02","Rabi","5.0","Hectare","1.0","Tonnes","0.2"
"Andhra Pradesh","ANANTAPUR","Arhar/Tur","2002-03","Kharif","33454.0","Hectare","6557.0","Tonnes","0.19600047826866743"
"Andhra Pradesh","ANANTAPUR","Arhar/Tur","2003-04","Kharif","41178.0","Hectare","6959.0","Tonnes","0.16899800864539316"
"Andhra Pradesh","CHITTOOR","Arhar/Tur","2001-02","Kharif","5403.0","Hectare","924.0","Tonnes","0.17101610216546362"
"Andhra Pradesh","CHITTOOR","Arhar/Tur","2002-03","Kharif","4113.0","Hectare","440.0","Tonnes","0.10697787503039144"
"Andhra Pradesh","CHITTOOR","Arhar/Tur","2002-03","Rabi","17.0","Hectare","2.0","Tonnes","0.11764705882352941"
"Andhra Pradesh","CHITTOOR","Arhar/Tur","2003-04","Kharif","8476.0","Hectare","636.0","Tonnes","0.07503539405379896"
"Andhra Pradesh","CHITTOOR","Arhar/Tur","2003-04","Rabi","10.0","Hectare","1.0","Tonnes","0.1"
"Andhra Pradesh","EAST GODAVARI","Arhar/Tur","2001-02","Kharif","1309.0","Hectare","763.0","Tonnes","0.5828877005347594"
"Andhra Pradesh","EAST GODAVARI","Arhar/Tur","2002-03","Kharif","763.0","Hectare","267.0","Tonnes","0.34993446920052423"
